1,1,1,68.5,149800,38,2
1,1,2,59.2,149800,38,2
1,1,1,90,229900,38,1
3,1,1,90,279800,38,2
2,1,1,90,189900,38,1
1,1,1,69.9,146800,38,2
1,1,1,29.13,162800,40,5
4,1,1,52.5,133800,38,2
2,2,2,21.4,119800,38,2
1,2,2,21.4,121800,38,2
2,2,2,12.3,153900,38,2
1,2,1,11.1,145800,38,3
2,2,2,11.1,152800,38,2
2,2,1,16.6,152800,38,2
2,2,1,12.13,125800,38,2
1,1,1,77,310000,38,3
1,1,2,51,129800,38,3
1,1,1,64,129800,38,3
1,1,2,28.4,105638,40,5
3,1,1,90,219800,38,5
3,1,1,90,269900,38,5
3,1,2,68,299800,38,5
3,1,1,88.55,299800,38,5
2,1,1,70,226800,38,5
1,1,2,88.55,219000,38,5
1,1,1,50.23,134900,38,5
3,1,1,70,199800,38,5
3,2,2,24.7,143900,38,5
3,2,1,39.7,143900,38,5
3,2,1,13,173800,38,5
3,1,1,13,299800,38,5
1,1,2,75,219900,38,4
1,1,1,100,219900,38,4
2,1,1,100,289800,38,4
2,1,1,100,229900,38,4
1,1,1,90,299900,38,4
2,1,2,54.5,119800,40,5
2,1,2,69.2,135800,40,5
2,1,2,41.9,80800,40,5
1,1,2,50.6,59800,40,5
3,1,2,50.6,95800,40,5
1,1,2,28.4,105639,40,5
1,1,1,28,56800,40,5
1,1,2,31.7,87800,40,5
1,1,1,26.5,32800,40,5
1,1,2,41.6,83800,40,5
2,2,2,20.5,121800,40,5
2,2,2,20.5,88800,40,5
3,2,1,11.8,115800,40,5
2,2,1,11.8,99800,40,5
1,1,2,85,229800,49,4
1,1,1,111,229800,49,4
2,1,1,111,239800,49,4
1,1,2,56,239800,49,4
1,1,1,82,239800,49,4
2,1,1,99,509800,49,4
2,1,1,61.34,196800,49,1
2,2,1,20.1,315800,49,4
2,2,2,18.4,159800,49,4
2,1,2,42,74800,12,4
1,1,2,70.25,159000,12,2
2,1,2,62.3,109900,12,3
2,1,2,82.28,216600,12,2
1,1,2,56.8,119800,12,3
2,1,2,50.82,129900,12,3
2,1,1,27.2,65700,12,4
1,1,2,50.3,132800,12,3
1,1,1,52.99,132800,12,3
2,2,2,30.3,128900,12,3
2,2,1,30,99900,12,3
2,2,1,30,139900,12,3
1,2,1,30,119900,12,3
1,1,1,108.73,322900,12,1
3,1,1,108.7,469900,12,1
2,1,1,106,266900,12,1
3,2,1,43,339900,12,1
2,1,2,57.8,119900,12,3
2,1,1,85.9,119900,12,3
1,1,1,57.2,139900,12,3
3,1,1,50.5,157900,12,3
3,2,2,20.1,199900,12,3
3,2,1,34.9,199900,12,3
1,1,1,38.4,129800,12,2
2,1,2,62,135900,33,1
1,1,1,50,139800,33,1
1,1,2,48,139800,33,1
2,1,1,60.7,138800,33,1
2,2,2,18.4,130000,33,1
2,2,1,38.64,133600,33,1
3,1,2,77.28,279800,24,1
3,1,2,31.18,139900,47,1
2,1,2,35.07,175900,47,1
2,1,2,39.057,249900,47,5
2,1,1,9.98,249900,47,5
1,1,1,58.1,158000,47,5
1,1,2,28.4,158000,47,5
2,1,2,39.05,169900,47,3
2,1,1,79.97,169900,47,3
1,1,2,27.99,48900,47,1
1,1,2,56.12,146900,47,3
1,1,1,35.07,146900,47,3
1,1,1,32.2,69800,47,1
1,1,1,52.56,203400,47,1
2,2,2,18.4,117900,47,1
2,2,2,18.99,129900,47,5
2,2,1,9.07,129900,47,5
1,2,2,18.99,89900,47,5
1,2,1,9.07,89900,47,5
2,2,2,28.39,169900,47,1
1,2,2,18.4,144900,47,1
2,2,2,28.39,187900,47,1
1,1,2,28.39,699900,47,3
2,1,2,82.16,219900,47,2
1,1,1,94.5,300800,47,2
2,1,1,116,3000000,47,2
2,2,1,25.57,229800,16,1
3,2,1,25.57,329800,16,1
3,2,1,25.57,209800,16,1
3,2,4,44.6,266800,16,1
2,2,4,44.6,228800,16,1
2,1,1,93,220000,16,4
1,1,1,74.69,1286000,16,4
1,1,2,70.1,219900,16,4
1,1,1,80.1,219900,16,4
2,1,2,63.98,104600,16,4
2,1,1,76.8,104600,16,4
2,1,1,95.8,159600,16,4
2,1,2,71.8,159600,16,4
1,1,1,68,139800,16,4
1,1,2,59.4,139800,16,4
2,1,1,144.4,249600,16,4
2,1,2,75.26,159600,16,4
2,1,1,90.215,159600,16,4
2,1,1,53.6,131900,31,14
3,1,1,95.16,320000,31,5
3,1,2,114.19,320000,31,5
1,1,1,71,179800,31,5
2,1,2,64.6,140000,31,5
2,1,1,76.8,140000,31,5
2,1,1,93,262600,31,5
1,1,1,60.7,129900,7,2
1,1,1,60,159900,7,2
1,1,2,65,176800,7,4
1,1,1,79.2,176800,7,4
1,1,1,100,399800,7,4
3,1,2,58.86,133800,7,1
2,1,2,65,155800,7,1
2,1,1,79.2,155800,7,1
1,1,1,93.6,251900,7,1
2,1,1,93.6,241900,7,1
1,1,2,71.4,209900,22,2
1,1,1,100,209900,22,2
1,1,2,95,215800,22,14
2,1,2,60.22,109800,22,3
2,1,2,75,229900,22,12
2,1,1,100,229900,22,12
1,1,2,76,175800,22,3
2,1,1,69,189800,22,12
1,1,1,75,209900,22,12
1,1,2,100,209900,22,12
1,1,2,9.8,29900,22,2
2,1,2,71.4,249900,22,2
2,1,1,100,249900,22,2
2,1,2,39.4,86800,22,5
2,1,2,53.4,107800,22,5
2,1,1,70,107800,22,5
3,1,1,86,151800,22,2
3,1,2,73,151800,22,2
3,1,1,140,439000,22,12
4,1,2,95,269000,22,12
4,1,1,100,269000,22,12
4,1,1,70,129800,22,5
1,1,2,53.4,110800,22,5
1,2,2,18.99,169800,22,14
1,2,2,133,128000,22,3
2,2,2,21.2,208000,22,14
2,2,1,39.8,208000,22,14
1,2,1,15.5,129800,22,6
2,2,1,41.2,239700,22,2
2,2,2,18.7,138700,22,3
2,2,1,17.7,223800,22,14
2,2,2,19.09,126800,22,14
2,2,1,40.1,339800,22,14
2,2,1,17.7,195800,22,14
1,2,1,11.82,157800,22,14
2,2,1,11.5,152700,22,2
2,2,1,11.82,157800,22,14
