1,1,0,0,0,0
1,2,0,0,0,0
2,1,0,0,0,0
2,2,0,0,0,0
2,3,0,0,0,0
3,1,0,0.006873192,0,0
3,2,0.008410116,0.006783219,0,0
3,3,0.009984851,0.00340092,0,0
3,4,0.000551624,0.000415039,0,0
4,1,0.008905392,0.014782522,0,0
5,1,0.002586803,0.010366681,0.027500116,0
5,2,0.002002083,0.002546107,0,0
6,1,0.028550282,0.021099204,0,0
6,2,0,0,0,0
7,1,0.000290786,0.004167261,0.063659658,0
7,2,0.006696378,0.014122902,0,0.051274627
7,3,0,0,0,0
7,4,0.001475384,0.004105205,0,0
7,5,0,0,0,0
7,6,0,0,0,0
7,7,0,0,0,0
7,8,0,0,0,0
7,9,0,0,0,0
7,10,0,0,0,0
7,11,0,0,0,0
8,1,0.059539217,0.066310298,0.063852952,0
8,2,0,0,0,0
8,3,0,0,0,0
8,4,0,0,0,0
9,1,0.041080887,0.042907285,0.022241923,0
9,2,0.000134376,0.000201983,0.009271871,0
9,3,0,2.27E-05,0,0
9,4,0,6.48E-05,0,0
10,1,0,0,0,0
10,2,0.20365385,0.066094084,0.018597942,0
10,3,0.040712037,0.032426137,0,0
10,4,0,0,0,0
11,1,0,0,0,0
11,2,0,0,0,0
12,1,4.54E-05,0.000427275,0.002448993,0
12,2,0.001188458,0.01722275,0.08612025,0.080616091
12,3,0.005585585,0.006484436,0,0
12,4,0,9.52E-05,0,0
12,5,0,0,0,0
13,1,0.082295612,0.049656192,0.01696655,0
14,1,0,0,0,0
14,2,0.001274387,0,0,0
14,3,0,0.004819274,0,0
14,4,0,0,0,0
15,1,0.029669892,0.020959969,0.000629482,0
15,2,0.000264823,0.002891424,0,0
16,1,0.003838606,0.028833181,0.039636897,0.001145325
16,2,0,0,0,0
16,3,0,0,0,0
16,4,0.004113161,0.00530928,0,0
17,1,0,0,0,0
17,2,0,0,0,0
18,1,0.000318349,0.003739354,0,0
19,1,0,0,0,0
20,1,0,0,0,0
20,2,0.0030957,0,0.018506722,0.090157614
20,3,0,0,0,0
20,4,0,0,0,0
20,5,0,0,0,0
20,6,0,0,0,0
20,7,0,0,0,0
21,1,0,0,0,0
22,1,0.004763056,0.008444011,4.83E-05,0
22,2,0.01994971,0.049098418,0.00596876,0
22,3,0.000287176,0.000953757,0,0
22,4,0.000668454,0,0,0
22,5,0.001165306,0.001675804,0,0
22,6,0.023511023,0.007652063,0,0
22,7,0,0,0,0
22,8,0,0,0,0
22,9,0,0,0,0
22,10,0.000148195,0.000553753,0,0
22,11,0.000385495,0.000232073,0.001896713,0
22,12,0.001541769,0.000455639,0.001401006,0
22,13,0,0,0,0
22,14,0.003165787,0,0,0
22,15,0.000132909,0,0,0
22,16,0,0,0,0
23,1,0.001210127,0.004056787,2.06E-05,0
23,2,0,0,0,0
23,3,0,0,0,0
24,1,0.06580257,0.041058952,0.004219983,0
24,2,0,0,0,0
24,3,0,0,0,0
24,4,0,0,0,0
24,5,0,0,0,0
24,6,0,0,0,0
24,7,0,0,0,0
24,8,0,0,0,0
25,1,0,0.007179599,0,0
26,1,0,0,0,0
26,2,0,0,0,0
27,1,0,0,0,0
28,1,0.001651805,0.001472102,0,0
28,2,0,0,0,0
29,1,0.012374414,0.008450297,0.000218166,0
30,1,0.025011156,0.020374421,0.016148661,0
30,2,0,0.000882626,0,0
31,1,0.000566918,0.001708171,0.002184588,0.004760023
31,2,0.000789287,0.001515327,0.002285656,0
31,3,0,0,0,0
31,4,0,0,0,0
31,5,0.000494246,0.001935835,0.001641725,0
31,6,0,0,0,0
31,7,0,0,0,0
31,8,0,0,0,0
31,9,0,0,0,0
31,10,0,0,0,0
31,11,0,0,0,0
