18.99,1500,0,0,19.99,743,0,0,0,0,0,0
33.48,1479,0,0,28.98,686,0,0,0,0,0,0
15.28,1423,0,0,18.58,643,0,0,0,0,0,0
8.78,1332,0,0,17.5,591,0,0,0,0,0,0
18.98,1224,0,0,12.98,529,0,0,0,0,0,0
15.28,1008,0,0,15.99,527,0,0,0,0,0,0
2.98,945,0,0,25.99,364,0,0,0,0,0,0
15.29,905,0,0,29.77,344,0,0,0,0,0,0
15.48,839,0,0,15.99,324,0,0,0,0,0,0
18.98,836,0,0,23.98,310,0,0,0,0,0,0
47.8,750,0,0,28.66,296,0,0,0,0,0,0
14.98,739,0,0,19.99,267,0,0,0,0,0,0
15.48,676,0,0,58.98,252,0,0,0,0,0,0
2.97,663,0,0,18.98,237,0,0,0,0,0,0
25.28,625,0,0,18.98,234,0,0,0,0,0,0
12.98,438,0,0,9.58,230,0,0,0,0,0,0
29.99,415,0,0,13.48,175,0,0,0,0,0,0
2.98,392,0,0,14.37,159,0,0,0,0,0,0
13.98,230,0,0,19.88,82,0,0,0,0,0,0
15.38,228,0,0,9.98,52,0,0,0,0,0,0
14.99,225,0,0,14.38,47,0,0,0,0,0,0
18.29,218,0,0,28.9,32,0,0,0,0,0,0
3.26,173,0,0,33.9,26,0,0,0,0,0,0
5.78,158,0,0,6.18,13,0,0,0,0,0,0
11.98,108,0,0,54.68,12,0,0,0,0,0,0
15.98,31,0,0,25.7,32.2,0,0,0,0,0,0
4.19,20,0,0,24.38,11,0,0,0,0,0,0
6.8,15,0,0,19.78,5,0,0,0,0,0,0
5.98,15,0,0,22.89,3,0,0,0,0,0,0
51,4,0,0,57,2,0,0,0,0,0,0
17.88,1,0,0,15.98,1,0,0,0,0,0,0
0,0,0,0,19.98,1,0,0,0,0,0,0
